,City,longitude,latitude
167,ALTÖTTING,48.233,12.683
168,ALVESLOHE,53.783,9.917
169,ALZENAU IN UNTERFRANKEN,50.083,9.067
170,ALZEY,49.750,8.117
171,AMBERG,49.450,11.850
172,AMELINGHAUSEN,53.133,10.217
173,AMERANG,47.983,12.317
174,AMMERBUCH,48.550,8.967
175,AMMERNDORF,49.417,10.850
176,AMMERSBEK,53.700,10.200
177,AMMERTHAL,49.433,11.767
178,AMORBACH,49.650,9.217
179,AMPFING,48.250,12.417
180,AMSTETTEN,48.583,9.883
181,AMTZELL,47.700,9.750
182,AMÖNEBURG,50.800,8.917
183,ANDECHS,47.967,11.183
184,ANDERNACH,50.433,7.417
185,ANGELBACHTAL,49.233,8.783
186,ANGELBURG,50.817,8.450
187,ANGER,47.800,12.867
188,ANGERMÜNDE,53.016,14.007
189,ANGERN,52.360,11.735
190,ANKLAM,53.856,13.692
191,ANKUM,52.550,7.867
192,ANNABERG-BUCHHOLZ,50.580,13.011
193,ANNABURG,51.736,13.049
194,ANNAHÜTTE,51.560,13.903
195,ANNWEILER AM TRIFELS,49.200,7.967
196,ANRÖCHTE,51.567,8.333
197,ANSBACH,49.300,10.583
198,ANSPRUNG,50.649,13.261
199,ANTRIFTTAL,50.783,9.200
200,ANZING,48.150,11.850
201,APELERN,52.283,9.333
202,APEN,53.217,7.817
203,APENSEN,53.433,9.617
204,APOLDA,51.025,11.511
205,APPEL,53.400,9.750
206,APPEN,53.667,9.750
207,APPENHEIM,49.933,8.033
208,APPENWEIER,48.533,7.983
209,ARBERG,49.150,10.617
210,ARESING,48.533,11.300
211,ARGENBÜHL,47.667,9.933
212,ARGENTHAL,49.967,7.600
213,ARMSHEIM,49.817,8.067
214,ARNBRUCK,49.133,13.000
215,ARNEBURG,52.677,12.008
216,ARNSBERG,51.400,8.067
217,ARNSCHWANG,49.283,12.817
218,ARNSDORF,51.096,14.000
219,ARNSFELD,50.580,13.120
220,ARNSTADT,50.833,10.955
221,ARNSTEIN,49.983,9.967
222,ARNSTORF,48.567,12.817
223,AROLSEN,51.383,9.017
224,ARRACH,49.200,13.000
225,ARTERN,51.365,11.287
226,ARTLENBURG,53.383,10.483
227,ARZBACH,50.383,7.750
228,ARZBERG,50.067,12.183
229,ARZBERG,51.530,13.127
230,ARZFELD,50.083,6.283
231,ASBACH,50.667,7.433
232,ASBACH-BÄUMENHEIM,48.683,10.817
233,ASCHA,49.000,12.633
234,ASCHAFFENBURG,49.967,9.150
235,ASCHAU AM INN,48.200,12.350
236,ASCHAU IM CHIEMGAU,47.783,12.317
237,ASCHEBERG,51.783,7.617
238,ASCHEBERG (HOLSTEIN),54.150,10.350
239,ASCHERSLEBEN,51.759,11.451
240,ASCHHEIM,48.167,11.717
241,ASENDORF,52.767,9.000
242,ASENDORF,53.300,9.983
243,ASPACH,48.967,9.400
244,ASPERG,48.900,9.133
245,ASSAMSTADT,49.433,9.683
246,ASSLAR,50.583,8.467
247,ASSLING,48.000,12.000
248,ATTENDORN,51.133,7.900
249,ATTENKIRCHEN,48.500,11.767
250,ATTENWEILER,48.133,9.700
251,ATTING,48.900,12.483
252,ATZENDORF,51.917,11.594
253,AU AM RHEIN,48.950,8.233
254,AU IN DER HALLERTAU,48.567,11.750
255,AUB,49.550,10.067
256,AUDENHAIN,51.498,12.842
257,AUE,50.587,12.717
258,AUENWALD,48.933,9.500
259,AUERBACH,48.800,13.100
260,AUERBACH,50.518,12.402
261,AUERBACH,50.688,12.913
262,AUERBACH IN DER OBERPFALZ,49.700,11.633
263,AUETAL,52.233,9.233
264,AUFHAUSEN,48.867,12.283
265,AUFSESS,49.883,11.233
266,AUGGEN,47.783,7.600
267,AUGSBURG,48.367,10.900
268,AUGUSTDORF,51.917,8.750
269,AUGUSTUSBAD,51.138,13.904
270,AUGUSTUSBURG,50.814,13.101
271,AUHAGEN,52.400,9.283
272,AUKRUG,54.083,9.783
273,AULENDORF,47.950,9.633
274,AUMA,50.702,11.899
275,AUMÜHLE,53.533,10.317
276,AURA IM SINNGRUND,50.183,9.583
277,AURACH,49.250,10.417
278,AURACHTAL,49.583,10.833
279,AURICH,53.467,7.483
280,AUSLEBEN,52.092,11.112
281,AUSSERNZELL,48.733,13.200
282,AXSTEDT,53.350,8.767
283,AYING,47.967,11.783
284,AYL,49.633,6.550
285,AYSTETTEN,48.400,10.767
286,BAALBERGE,51.764,11.801
287,BAAR,48.667,11.467
288,BAAR,50.350,7.033
289,BABENHAUSEN,48.150,10.250
290,BABENHAUSEN,49.967,8.950
291,BABENSHAM,48.083,12.267
292,BACH AN DER DONAU,49.017,12.300
293,BACHARACH,50.067,7.767
294,BACHHAGEL,48.633,10.317
295,BACKNANG,48.950,9.417
296,BAD ABBACH,48.933,12.050
297,BAD AIBLING,47.867,12.017
298,BAD ALEXANDERSBAD,50.017,12.017
299,BAD BELLINGEN,47.733,7.550
300,BAD BENTHEIM,52.300,7.167
301,BAD BERGZABERN,49.100,8.000
302,BAD BERKA,50.904,11.280
303,BAD BERLEBURG,51.050,8.400
304,BAD BERNECK,50.050,11.683
305,BAD BERTRICH,50.067,7.033
306,BAD BEVENSEN,53.083,10.583
307,BAD BIBRA,51.209,11.576
308,BAD BLANKENBURG,50.686,11.269
309,BAD BOCKLET,50.267,10.083
310,BAD BRAMBACH,50.229,12.315
311,BAD BRAMSTEDT,53.917,9.883
312,BAD BREISIG,50.517,7.300
313,BAD BRÜCKENAU,50.317,9.800
314,BAD BUCHAU,48.067,9.617
315,BAD DITZENBACH,48.583,9.700
316,BAD DOBERAN,54.108,11.914
317,BAD DRIBURG,51.733,9.017
318,BAD DÜBEN,51.596,12.580
319,BAD DÜRKHEIM,49.467,8.167
320,BAD DÜRRENBERG,51.298,12.054
321,BAD DÜRRHEIM,48.017,8.533
322,BAD EILSEN,52.250,9.100
323,BAD ELSTER,50.280,12.239
324,BAD EMS,50.333,7.717
325,BAD ENDBACH,50.750,8.500
326,BAD ESSEN,52.317,8.333
327,BAD FEILNBACH,47.783,12.000
328,BAD FRANKENHAUSEN,51.358,11.093
329,BAD FREIENWALDE,52.784,14.030
330,BAD FRIEDRICHSHALL,49.217,9.217
331,BAD FÜSSING,48.350,13.317
332,BAD GANDERSHEIM,51.867,10.033
333,BAD GOTTLEUBA,50.849,13.949
334,BAD GRUND,51.817,10.233
335,BAD HARZBURG,51.883,10.567
336,BAD HEILBRUNN,47.750,11.450
337,BAD HERRENALB,48.800,8.433
338,BAD HERSFELD,50.867,9.717
339,BAD HOMBURG VOR DER HÖHE,50.233,8.617
340,BAD HONNEF,50.650,7.233
341,BAD HÖNNINGEN,50.517,7.317
342,BAD IBURG,52.167,8.050
343,BAD KARLSHAFEN,51.650,9.450
344,BAD KISSINGEN,50.200,10.083
345,BAD KLEINEN,53.778,11.481
346,BAD KLOSTERLAUSNITZ,50.915,11.866
347,BAD KOHLGRUB,47.667,11.050
348,BAD KREUZNACH,49.833,7.867
349,BAD KROZINGEN,47.917,7.700
350,BAD KÖNIG,49.750,9.000
351,BAD KÖNIGSHOFEN IM GRABFELD,50.300,10.467
352,BAD KÖSEN,51.138,11.714
353,BAD KÖSTRITZ,50.929,12.011
354,BAD LAER,52.100,8.083
355,BAD LANGENSALZA,51.110,10.645
356,BAD LAUCHSTÄDT,51.385,11.870
357,BAD LAUSICK,51.147,12.638
358,BAD LAUTERBERG IM HARZ,51.633,10.467
359,BAD LIEBENSTEIN,50.817,10.348
360,BAD LIEBENWERDA,51.516,13.399
361,BAD LIEBENZELL,48.767,8.733
362,BAD LIPPSPRINGE,51.783,8.817
363,BAD MARIENBERG (WESTERWALD),50.650,7.950
364,BAD MERGENTHEIM,49.500,9.767
365,BAD MÜNDER AM DEISTER,52.200,9.467
366,BAD MÜNSTER AM STEIN,49.817,7.850
367,BAD MÜNSTEREIFEL,50.550,6.767
368,BAD NAUHEIM,50.367,8.750
369,BAD NENNDORF,52.333,9.383
370,BAD NEUENAHR - AHRWEILER,50.550,7.117
371,BAD NEUSTADT AN DER SAALE,50.317,10.217
372,BAD OEYNHAUSEN,52.200,8.800
373,BAD OLDESLOE,53.817,10.367
374,BAD ORB,50.233,9.350
375,BAD PETERSTAL - GRIESBACH,48.433,8.200
376,BAD PYRMONT,51.983,9.267
377,BAD RAPPENAU,49.250,9.100
378,BAD REICHENHALL,47.733,12.883
379,BAD RIPPOLDSAU - SCHAPBACH,48.433,8.333
380,BAD ROTHENFELDE,52.117,8.167
381,BAD SAAROW-PIESKOW,52.291,14.061
382,BAD SACHSA,51.600,10.550
383,BAD SALZDETFURTH,52.067,10.017
384,BAD SALZSCHLIRF,50.633,9.517
385,BAD SALZUFLEN,52.083,8.750
386,BAD SALZUNGEN,50.814,10.228
387,BAD SASSENDORF,51.583,8.167
388,BAD SCHANDAU,50.924,14.156
389,BAD SCHMIEDEBERG,51.695,12.732
390,BAD SCHUSSENRIED,48.000,9.650
391,BAD SCHWALBACH,50.150,8.050
392,BAD SCHWARTAU,53.917,10.700
393,BAD SCHÖNBORN,49.217,8.650
394,BAD SEGEBERG,53.933,10.317
395,BAD SODEN - SALMÜNSTER,50.283,9.367
396,BAD SOODEN-ALLENDORF,51.267,9.967
397,BAD STEBEN,50.367,11.650
398,BAD SULZA,51.089,11.623
399,BAD SÄCKINGEN,47.550,7.950
400,BAD SÜLZE,54.110,12.664
401,BAD TEINACH-ZAVELSTEIN,48.700,8.683
402,BAD TENNSTEDT,51.154,10.836
403,BAD TÖLZ,47.767,11.567
404,BAD VILBEL,50.183,8.733
405,BAD WALDSEE,47.917,9.750
406,BAD WIESSEE,47.717,11.717
407,BAD WILDUNGEN,51.117,9.133
408,BAD WILSNACK,52.959,11.948
409,BAD WIMPFEN,49.233,9.167
410,BAD WINDSHEIM,49.500,10.417
411,BAD WURZACH,47.917,9.900
412,BAD WÖRISHOFEN,48.000,10.600
413,BAD ZWISCHENAHN,53.183,8.017
414,BAD ÜBERKINGEN,48.600,9.800
415,BADBERGEN,52.633,7.983
416,BADDECKENSTEDT,52.083,10.233
417,BADEBORN,51.768,11.246
418,BADEM,50.000,6.600
419,BADEN-BADEN,48.767,8.233
420,BADENHAUSEN,51.767,10.217
421,BADENWEILER,47.800,7.667
422,BADERSLEBEN,51.986,10.884
423,BAESWEILER,50.917,6.183
424,BAHLINGEN,48.117,7.733
425,BAHRATAL,50.837,14.000
426,BAHRDORF,52.383,11.000
427,BAHRENBORSTEL,52.567,8.817
428,BAIENFURT,47.833,9.650
429,BAIERBRUNN,48.017,11.483
430,BAIERN,47.967,11.917
431,BAIERSBRONN,48.500,8.367
432,BAIERSDORF,49.667,11.033
433,BAINDT,47.850,9.667
434,BAISWEIL,47.950,10.550
435,BAKUM,52.750,8.200
436,BALGE,52.717,9.183
437,BALINGEN,48.283,8.850
438,BALJE,53.833,9.133
439,BALLENSTEDT,51.720,11.239
440,BALLRECHTEN-DOTTINGEN,47.867,7.683
441,BALTMANNSWEILER,48.750,9.450
442,BALVE,51.333,7.867
443,BALZHEIM,48.183,10.083
444,BAMBERG,49.900,10.883
445,BAMMENTAL,49.350,8.783
446,BANN,49.383,7.617
447,BANNESDORF AUF FEHMARN,54.467,11.217
448,BANNEWITZ,50.998,13.721
449,BANTELN,52.067,9.750
450,BARBING,49.000,12.200
451,BARBY,51.970,11.880
452,BARCHFELD,50.800,10.297
453,BARDOWICK,53.300,10.400
454,BARENBURG,52.617,8.800
455,BARGFELD-STEGEN,53.767,10.183
456,BARGSTEDT,53.467,9.450
457,BARGTEHEIDE,53.733,10.267
458,BARKELSBY,54.500,9.833
459,BARLEBEN,52.206,11.619
460,BARMSTEDT,53.783,9.767
461,BARNEBERG,52.122,11.075
462,BARNSTORF,52.717,8.517
463,BARNSTÄDT,51.344,11.645
464,BARNTRUP,51.983,9.117
465,BARSBÜTTEL,53.567,10.167
466,BARSINGHAUSEN,52.300,9.467
467,BARSSEL,53.167,7.750
468,BARTH,54.369,12.727
